XboxCn2

117.66.33.167	(中国安徽合肥 电信)
112.132.214.4	(中国安徽合肥 联通)
36.110.220.113	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
58.144.229.133	(中国重庆 联通)
221.178.62.143	(中国重庆 移动)
59.56.23.9	(中国福建福州 电信)
120.39.213.134	(中国福建福州 电信)
112.48.230.20	(中国福建福州 移动)
220.249.135.16	(中国福建宁德 联通)
110.88.142.54	(中国福建厦门 电信)
61.134.71.94	(中国甘肃兰州 电信)
125.74.134.74	(中国甘肃兰州 电信)
180.95.228.8	(中国甘肃兰州 联通)
14.29.45.76	(中国广东佛山 电信)
116.31.102.53	(中国广东佛山 电信)
183.2.166.66	(中国广东广州 电信)
120.232.141.64	(中国广东江门 移动)
183.240.64.130	(中国广东汕头 移动)
183.61.10.36	(中国广东珠海 电信)
116.11.252.83	(中国广西南宁 电信)
222.218.188.137	(中国广西南宁 电信)
111.124.71.240	(中国贵州贵阳 电信)
203.195.76.30	(中国贵州贵阳 电信)
61.243.27.193	(中国贵州贵阳 联通)
117.187.46.88	(中国贵州贵阳 移动)
116.171.87.132	(中国贵州黔南布依族苗族自治州 联通)
121.18.168.65	(中国河北保定 联通)
101.96.148.87	(中国河北石家庄 电信)
36.144.34.151	(中国河北唐山 移动)
61.54.15.1	(中国河南安阳 联通)
106.46.26.88	(中国河南洛阳 电信)
221.15.69.47	(中国河南洛阳 联通)
221.15.70.53	(中国河南洛阳 联通)
123.101.232.16	(中国河南商丘 电信)
36.99.225.41	(中国河南郑州 电信)
106.42.232.102	(中国河南郑州 电信)
123.6.79.1	(中国河南郑州 联通)
42.185.159.134	(中国黑龙江哈尔滨 电信)
111.42.193.78	(中国黑龙江哈尔滨 移动)
119.96.148.71	(中国湖北武汉 电信)
119.96.253.7	(中国湖北武汉 电信)
223.210.4.95	(中国湖北武汉 电信)
111.48.66.53	(中国湖北武汉 移动)
183.95.221.170	(中国湖北咸宁 联通)
61.184.6.58	(中国湖北襄阳 电信)
118.253.164.2	(中国湖南长沙 电信)
175.12.73.18	(中国湖南长沙 电信)
120.226.47.52	(中国湖南长沙 移动)
120.226.50.137	(中国湖南长沙 移动)
116.142.244.148	(中国吉林长春 联通)
116.142.250.5	(中国吉林长春 联通)
112.83.133.193	(中国江苏泰州 联通)
58.218.65.58	(中国江苏徐州 电信)
223.109.118.2	(中国江苏徐州 移动)
223.109.46.87	(中国江苏盐城 移动)
58.220.65.27	(中国江苏扬州 电信)
223.111.127.41	(中国江苏扬州 移动)
222.186.163.56	(中国江苏镇江 电信)
106.227.43.42	(中国江西九江 电信)
182.106.158.41	(中国江西九江 电信)
106.225.224.124	(中国江西南昌 电信)
116.153.76.41	(中国江西南昌 联通)
116.153.79.103	(中国江西南昌 联通)
42.202.162.1	(中国辽宁大连 电信)
42.202.212.46	(中国辽宁大连 电信)
120.201.64.75	(中国辽宁沈阳 移动)
221.180.210.64	(中国辽宁沈阳 移动)
1.28.232.131	(中国内蒙古包头 联通)
1.180.27.140	(中国内蒙古呼和浩特 电信)
117.161.74.101	(中国内蒙古呼和浩特 移动)
139.170.157.190	(中国青海西宁 联通)
150.138.210.19	(中国山东济南 电信)
182.40.80.26	(中国山东临沂 电信)
140.249.149.193	(中国山东青岛 电信)
140.249.153.83	(中国山东青岛 电信)
140.249.244.147	(中国山东青岛 电信)
27.221.14.165	(中国山东青岛 联通)
123.235.31.129	(中国山东青岛 联通)
61.179.224.75	(中国山东泰安 联通)
112.240.57.95	(中国山东淄博 联通)
112.240.60.160	(中国山东淄博 联通)
113.24.209.175	(中国山西大同 电信)
113.201.1.69	(中国陕西西安 联通)
112.46.4.41	(中国陕西西安 移动)
113.142.209.186	(中国陕西延安 电信)
114.80.149.72	(中国上海 电信)
180.163.116.45	(中国上海 电信)
180.163.118.254	(中国上海 电信)
180.163.200.99	(中国上海 电信)
125.66.115.7	(中国四川南充 电信)
111.161.40.82	(中国天津 联通)
116.130.196.137	(中国天津 联通)
111.31.114.17	(中国天津 移动)
106.60.71.88	(中国云南楚雄彝族自治州 电信)
182.247.251.83	(中国云南昆明 电信)
220.164.107.50	(中国云南玉溪 电信)
122.225.106.131	(中国浙江湖州 电信)
183.131.106.126	(中国浙江嘉兴 电信)
183.134.11.42	(中国浙江嘉兴 电信)
183.246.188.182	(中国浙江嘉兴 移动)
183.249.206.1	(中国浙江丽水 移动)
115.231.32.4	(中国浙江宁波 电信)
183.131.44.86	(中国浙江宁波 电信)
60.188.140.121	(中国浙江台州 电信)
183.245.7.41	(中国浙江台州 移动)
