assets1.xboxlive.cn

120.209.212.183	(中国安徽亳州 移动)
223.215.189.45	(中国安徽池州 电信)
117.68.47.10	(中国安徽合肥 电信)
220.180.243.218	(中国安徽合肥 电信)
58.242.249.158	(中国安徽合肥 联通)
61.241.148.93	(中国安徽合肥 联通)
61.241.178.192	(中国安徽合肥 联通)
221.130.128.79	(中国安徽合肥 移动)
117.66.17.44	(中国安徽淮北 电信)
60.171.255.50	(中国安徽宿州 电信)
36.110.220.113	(中国北京 电信)
106.39.192.140	(中国北京 电信)
123.125.246.51	(中国北京 联通)
219.152.87.111	(中国重庆 电信)
219.153.153.248	(中国重庆 电信)
219.153.187.134	(中国重庆 电信)
58.144.195.57	(中国重庆 联通)
58.144.244.56	(中国重庆 联通)
221.178.62.143	(中国重庆 移动)
120.39.213.97	(中国福建福州 电信)
120.39.215.71	(中国福建福州 电信)
125.77.181.191	(中国福建福州 电信)
222.79.112.41	(中国福建福州 电信)
36.250.233.5	(中国福建福州 联通)
220.249.135.15	(中国福建宁德 联通)
27.152.189.63	(中国福建泉州 电信)
112.48.194.193	(中国福建泉州 移动)
110.88.142.60	(中国福建厦门 电信)
120.39.163.187	(中国福建厦门 电信)
125.74.134.72	(中国甘肃兰州 电信)
36.142.12.17	(中国甘肃兰州 移动)
14.17.91.25	(中国广东东莞 电信)
119.147.120.134	(中国广东东莞 电信)
121.12.109.6	(中国广东东莞 电信)
183.61.169.254	(中国广东东莞 电信)
183.61.239.183	(中国广东东莞 电信)
157.255.130.140	(中国广东东莞 联通)
116.31.102.52	(中国广东佛山 电信)
120.232.104.152	(中国广东佛山 移动)
120.240.51.77	(中国广东佛山 移动)
120.240.94.130	(中国广东佛山 移动)
14.22.20.212	(中国广东广州 电信)
125.88.199.176	(中国广东广州 电信)
120.232.6.227	(中国广东广州 移动)
183.232.112.56	(中国广东惠州 移动)
183.240.81.116	(中国广东汕头 移动)
183.36.7.124	(中国广东深圳 电信)
183.61.10.36	(中国广东珠海 电信)
182.91.196.169	(中国广西桂林 联通)
116.253.61.102	(中国广西南宁 电信)
171.105.192.60	(中国广西南宁 电信)
171.108.223.161	(中国广西南宁 电信)
222.218.188.177	(中国广西南宁 电信)
111.124.75.241	(中国贵州贵阳 电信)
113.125.193.53	(中国贵州贵阳 电信)
119.0.79.10	(中国贵州贵阳 电信)
119.0.111.98	(中国贵州贵阳 电信)
203.195.76.36	(中国贵州贵阳 电信)
61.243.27.191	(中国贵州贵阳 联通)
220.197.201.55	(中国贵州贵阳 联通)
117.187.46.69	(中国贵州贵阳 移动)
116.171.87.132	(中国贵州黔南布依族苗族自治州 联通)
124.225.13.107	(中国海南海口 电信)
124.225.121.133	(中国海南海口 电信)
124.225.189.58	(中国海南海口 电信)
218.77.193.100	(中国海南海口 电信)
113.59.41.31	(中国海南海口 联通)
121.18.168.113	(中国河北保定 联通)
111.62.118.133	(中国河北廊坊 移动)
27.185.218.101	(中国河北石家庄 电信)
124.236.90.13	(中国河北石家庄 电信)
61.182.140.182	(中国河北石家庄 联通)
106.117.242.241	(中国河北唐山 电信)
101.72.228.98	(中国河北唐山 联通)
123.13.185.131	(中国河南安阳 联通)
221.15.69.47	(中国河南洛阳 联通)
42.231.143.117	(中国河南南阳 联通)
1.194.195.130	(中国河南郑州 电信)
123.6.40.199	(中国河南郑州 联通)
183.204.73.107	(中国河南郑州 移动)
183.205.179.83	(中国河南郑州 移动)
42.101.23.88	(中国黑龙江哈尔滨 电信)
42.185.159.151	(中国黑龙江哈尔滨 电信)
111.40.184.56	(中国黑龙江哈尔滨 移动)
111.42.193.81	(中国黑龙江哈尔滨 移动)
111.43.172.211	(中国黑龙江哈尔滨 移动)
218.10.9.76	(中国黑龙江齐齐哈尔 联通)
61.167.55.139	(中国黑龙江绥化 联通)
113.7.203.7	(中国黑龙江绥化 联通)
122.188.1.44	(中国湖北黄冈 联通)
122.188.44.50	(中国湖北黄冈 联通)
122.188.45.139	(中国湖北黄冈 联通)
111.180.137.88	(中国湖北十堰 电信)
119.96.5.63	(中国湖北武汉 电信)
119.96.6.180	(中国湖北武汉 电信)
119.96.17.218	(中国湖北武汉 电信)
223.210.4.95	(中国湖北武汉 电信)
111.48.130.187	(中国湖北武汉 移动)
119.36.89.133	(中国湖北仙桃 联通)
122.189.225.173	(中国湖北襄阳 联通)
27.21.228.121	(中国湖北宜昌 电信)
116.207.185.155	(中国湖北宜昌 电信)
119.36.33.121	(中国湖北宜昌 联通)
118.252.5.33	(中国湖南常德 电信)
175.6.18.203	(中国湖南长沙 电信)
175.6.52.125	(中国湖南长沙 电信)
175.12.73.158	(中国湖南长沙 电信)
175.12.124.110	(中国湖南长沙 电信)
116.162.16.31	(中国湖南长沙 联通)
120.226.14.67	(中国湖南长沙 移动)
120.226.47.25	(中国湖南长沙 移动)
120.226.71.8	(中国湖南长沙 移动)
124.232.180.99	(中国湖南株洲 电信)
42.97.34.87	(中国吉林长春 电信)
106.41.206.183	(中国吉林长春 电信)
116.142.234.102	(中国吉林长春 联通)
116.142.250.5	(中国吉林长春 联通)
58.216.6.14	(中国江苏常州 电信)
61.160.193.235	(中国江苏常州 电信)
61.160.238.79	(中国江苏常州 电信)
114.112.216.10	(中国江苏常州 联通)
153.99.77.46	(中国江苏淮安 联通)
36.150.13.37	(中国江苏淮安 移动)
49.88.232.64	(中国江苏连云港 电信)
180.105.204.83	(中国江苏连云港 电信)
36.155.26.243	(中国江苏南京 移动)
221.181.202.61	(中国江苏南京 移动)
121.228.190.73	(中国江苏苏州 电信)
36.150.162.123	(中国江苏无锡 移动)
223.109.113.116	(中国江苏徐州 移动)
223.109.46.89	(中国江苏盐城 移动)
58.220.44.33	(中国江苏扬州 电信)
114.230.136.51	(中国江苏扬州 电信)
222.186.163.56	(中国江苏镇江 电信)
222.186.183.231	(中国江苏镇江 电信)
222.186.189.89	(中国江苏镇江 电信)
117.42.74.23	(中国江西抚州 电信)
59.63.81.96	(中国江西景德镇 电信)
59.63.227.140	(中国江西南昌 电信)
106.225.246.25	(中国江西南昌 电信)
116.153.62.140	(中国江西南昌 联通)
118.212.139.65	(中国江西南昌 联通)
42.202.218.190	(中国辽宁大连 电信)
36.131.151.9	(中国辽宁大连 移动)
218.24.86.74	(中国辽宁沈阳 联通)
218.61.163.79	(中国辽宁沈阳 联通)
116.95.26.5	(中国内蒙古鄂尔多斯 联通)
1.180.27.176	(中国内蒙古呼和浩特 电信)
116.136.189.31	(中国内蒙古呼和浩特 联通)
111.56.82.38	(中国内蒙古呼和浩特 移动)
222.75.36.80	(中国宁夏银川 电信)
111.51.157.183	(中国宁夏银川 移动)
111.51.158.68	(中国宁夏银川 移动)
36.103.218.106	(中国宁夏中卫 电信)
116.172.74.138	(中国宁夏中卫 联通)
111.51.162.58	(中国宁夏中卫 移动)
118.213.92.49	(中国青海海东 电信)
125.72.141.40	(中国青海西宁 电信)
150.138.237.62	(中国山东济南 电信)
182.40.129.62	(中国山东济南 电信)
39.91.190.160	(中国山东济南 联通)
116.196.129.154	(中国山东济南 联通)
116.196.131.4	(中国山东济南 联通)
116.196.155.120	(中国山东济南 联通)
119.188.134.59	(中国山东济南 联通)
119.188.150.131	(中国山东济南 联通)
119.188.155.61	(中国山东济南 联通)
119.188.229.62	(中国山东济南 联通)
120.220.196.171	(中国山东济南 移动)
140.249.4.191	(中国山东青岛 电信)
140.249.153.84	(中国山东青岛 电信)
140.249.244.145	(中国山东青岛 电信)
182.40.45.84	(中国山东青岛 电信)
27.222.17.192	(中国山东青岛 联通)
61.179.224.189	(中国山东泰安 联通)
61.162.206.137	(中国山东潍坊 联通)
39.91.140.213	(中国山东枣庄 联通)
60.210.9.157	(中国山东淄博 联通)
113.24.209.175	(中国山西大同 电信)
221.204.17.4	(中国山西太原 联通)
221.204.54.69	(中国山西太原 联通)
61.150.82.30	(中国陕西渭南 电信)
219.145.171.37	(中国陕西渭南 电信)
117.34.49.198	(中国陕西西安 电信)
123.138.12.140	(中国陕西西安 联通)
36.163.195.178	(中国陕西咸阳 移动)
113.142.209.73	(中国陕西延安 电信)
61.170.101.152	(中国上海 电信)
114.80.149.79	(中国上海 电信)
180.163.118.14	(中国上海 电信)
180.163.200.101	(中国上海 电信)
117.186.171.65	(中国上海 移动)
171.214.31.138	(中国四川成都 电信)
182.140.143.193	(中国四川成都 电信)
116.169.189.159	(中国四川成都 联通)
183.222.232.148	(中国四川成都 移动)
220.167.9.133	(中国四川德阳 电信)
118.123.20.60	(中国四川绵阳 电信)
125.66.115.9	(中国四川南充 电信)
125.64.7.21	(中国四川雅安 电信)
123.151.100.51	(中国天津 电信)
60.25.93.73	(中国天津 联通)
60.26.220.29	(中国天津 联通)
111.164.19.69	(中国天津 联通)
125.37.127.4	(中国天津 联通)
125.38.4.199	(中国天津 联通)
125.39.113.5	(中国天津 联通)
113.62.113.46	(中国西藏拉萨 电信)
113.62.253.18	(中国西藏拉萨 电信)
49.119.121.201	(中国新疆乌鲁木齐 电信)
120.71.178.24	(中国新疆乌鲁木齐 电信)
116.178.71.43	(中国新疆乌鲁木齐 联通)
180.130.97.100	(中国云南昆明 联通)
220.164.107.45	(中国云南玉溪 电信)
14.205.46.81	(中国云南玉溪 联通)
125.124.251.62	(中国浙江杭州 电信)
39.173.129.28	(中国浙江杭州 移动)
111.0.18.9	(中国浙江杭州 移动)
122.225.106.130	(中国浙江湖州 电信)
115.231.173.61	(中国浙江嘉兴 电信)
183.131.106.111	(中国浙江嘉兴 电信)
183.134.11.29	(中国浙江嘉兴 电信)
123.155.153.132	(中国浙江嘉兴 联通)
60.188.78.136	(中国浙江金华 电信)
101.69.97.131	(中国浙江金华 联通)
60.163.143.45	(中国浙江宁波 电信)
