dlassets.xboxlive.cn

182.61.128.145	(中国 电信)
117.66.33.167	(中国安徽合肥 电信)
223.244.13.72	(中国安徽合肥 电信)
58.242.249.157	(中国安徽合肥 联通)
112.132.214.1	(中国安徽合肥 联通)
211.91.65.209	(中国安徽合肥 联通)
36.110.220.113	(中国北京 电信)
123.117.133.175	(中国北京 联通)
113.249.87.130	(中国重庆 电信)
219.152.87.112	(中国重庆 电信)
222.180.167.123	(中国重庆 电信)
58.144.229.133	(中国重庆 联通)
221.178.10.163	(中国重庆 移动)
221.178.62.145	(中国重庆 移动)
59.56.23.7	(中国福建福州 电信)
59.56.26.11	(中国福建福州 电信)
120.39.213.134	(中国福建福州 电信)
121.204.225.177	(中国福建福州 电信)
112.48.230.20	(中国福建福州 移动)
220.249.135.16	(中国福建宁德 联通)
27.152.188.169	(中国福建泉州 电信)
220.160.34.45	(中国福建泉州 电信)
110.88.142.66	(中国福建厦门 电信)
120.39.163.180	(中国福建厦门 电信)
112.48.137.32	(中国福建厦门 移动)
61.134.71.89	(中国甘肃兰州 电信)
125.74.134.72	(中国甘肃兰州 电信)
180.95.228.6	(中国甘肃兰州 联通)
121.14.142.190	(中国广东东莞 电信)
183.60.155.206	(中国广东东莞 电信)
14.29.45.74	(中国广东佛山 电信)
116.31.102.51	(中国广东佛山 电信)
121.11.35.41	(中国广东佛山 电信)
183.2.166.63	(中国广东广州 电信)
183.240.242.134	(中国广东广州 移动)
121.11.171.208	(中国广东惠州 电信)
120.232.141.64	(中国广东江门 移动)
183.240.90.197	(中国广东茂名 移动)
183.240.64.130	(中国广东汕头 移动)
59.36.133.253	(中国广东深圳 电信)
58.251.60.42	(中国广东深圳 联通)
120.232.57.250	(中国广东深圳 移动)
183.232.155.41	(中国广东深圳 移动)
183.237.146.115	(中国广东中山 移动)
183.61.10.36	(中国广东珠海 电信)
182.91.254.87	(中国广西桂林 联通)
116.11.252.83	(中国广西南宁 电信)
222.218.188.137	(中国广西南宁 电信)
220.200.130.78	(中国广西南宁 联通)
58.42.59.70	(中国贵州贵阳 电信)
111.124.71.240	(中国贵州贵阳 电信)
111.124.206.133	(中国贵州贵阳 电信)
119.0.79.8	(中国贵州贵阳 电信)
119.0.92.75	(中国贵州贵阳 电信)
203.195.76.32	(中国贵州贵阳 电信)
61.243.27.195	(中国贵州贵阳 联通)
117.187.46.88	(中国贵州贵阳 移动)
116.171.87.132	(中国贵州黔南布依族苗族自治州 联通)
112.67.249.34	(中国海南海口 电信)
218.77.199.2	(中国海南海口 电信)
183.255.33.66	(中国海南海口 移动)
121.18.168.65	(中国河北保定 联通)
101.28.130.3	(中国河北邯郸 联通)
106.118.30.202	(中国河北廊坊 电信)
101.96.148.87	(中国河北石家庄 电信)
121.29.2.247	(中国河北石家庄 联通)
121.29.3.115	(中国河北石家庄 联通)
106.116.188.83	(中国河北唐山 电信)
36.144.34.149	(中国河北唐山 移动)
61.54.15.1	(中国河南安阳 联通)
123.13.185.9	(中国河南安阳 联通)
106.46.26.88	(中国河南洛阳 电信)
221.15.64.1	(中国河南洛阳 联通)
221.15.69.47	(中国河南洛阳 联通)
221.15.70.53	(中国河南洛阳 联通)
222.141.205.254	(中国河南漯河 联通)
123.101.232.16	(中国河南商丘 电信)
1.194.195.129	(中国河南郑州 电信)
36.99.225.41	(中国河南郑州 电信)
106.42.232.102	(中国河南郑州 电信)
123.6.79.1	(中国河南郑州 联通)
111.7.189.41	(中国河南郑州 移动)
183.205.180.166	(中国河南郑州 移动)
42.185.159.134	(中国黑龙江哈尔滨 电信)
111.42.112.118	(中国黑龙江哈尔滨 移动)
111.42.193.81	(中国黑龙江哈尔滨 移动)
111.43.169.86	(中国黑龙江哈尔滨 移动)
111.43.172.205	(中国黑龙江哈尔滨 移动)
1.56.98.24	(中国黑龙江鹤岗 联通)
111.180.137.90	(中国湖北十堰 电信)
119.96.6.119	(中国湖北武汉 电信)
119.96.37.2	(中国湖北武汉 电信)
119.96.148.71	(中国湖北武汉 电信)
119.96.253.2	(中国湖北武汉 电信)
223.210.4.95	(中国湖北武汉 电信)
111.48.66.53	(中国湖北武汉 移动)
119.36.89.1	(中国湖北仙桃 联通)
183.95.221.168	(中国湖北咸宁 联通)
61.184.6.91	(中国湖北襄阳 电信)
118.253.164.2	(中国湖南长沙 电信)
118.253.194.196	(中国湖南长沙 电信)
175.12.73.158	(中国湖南长沙 电信)
116.162.119.41	(中国湖南长沙 联通)
116.163.33.41	(中国湖南长沙 联通)
111.22.252.167	(中国湖南长沙 移动)
120.226.47.30	(中国湖南长沙 移动)
120.226.50.137	(中国湖南长沙 移动)
58.20.204.41	(中国湖南株洲 联通)
36.104.136.132	(中国吉林长春 电信)
42.97.34.62	(中国吉林长春 电信)
116.142.244.148	(中国吉林长春 联通)
116.142.250.5	(中国吉林长春 联通)
221.181.202.56	(中国江苏南京 移动)
36.151.187.86	(中国江苏南通 移动)
36.156.248.41	(中国江苏南通 移动)
43.226.164.41	(中国江苏苏州 联通)
122.195.144.103	(中国江苏宿迁 联通)
112.83.133.193	(中国江苏泰州 联通)
112.83.167.5	(中国江苏泰州 联通)
58.218.65.58	(中国江苏徐州 电信)
223.109.118.2	(中国江苏徐州 移动)
223.109.46.87	(中国江苏盐城 移动)
58.220.65.16	(中国江苏扬州 电信)
223.111.127.41	(中国江苏扬州 移动)
222.186.163.56	(中国江苏镇江 电信)
115.150.31.213	(中国江西赣州 电信)
106.227.43.42	(中国江西九江 电信)
182.106.158.41	(中国江西九江 电信)
106.225.224.124	(中国江西南昌 电信)
116.153.76.41	(中国江西南昌 联通)
116.153.79.105	(中国江西南昌 联通)
117.163.57.171	(中国江西南昌 移动)
42.202.156.28	(中国辽宁大连 电信)
42.202.161.131	(中国辽宁大连 电信)
42.202.162.1	(中国辽宁大连 电信)
42.202.165.102	(中国辽宁大连 电信)
42.202.212.46	(中国辽宁大连 电信)
42.7.60.221	(中国辽宁大连 联通)
123.247.86.155	(中国辽宁辽阳 电信)
123.184.27.7	(中国辽宁沈阳 电信)
120.201.64.75	(中国辽宁沈阳 移动)
221.180.210.41	(中国辽宁沈阳 移动)
1.28.232.131	(中国内蒙古包头 联通)
1.180.27.140	(中国内蒙古呼和浩特 电信)
117.161.74.99	(中国内蒙古呼和浩特 移动)
116.172.74.152	(中国宁夏中卫 联通)
111.51.129.117	(中国宁夏中卫 移动)
118.213.92.49	(中国青海海东 电信)
139.170.157.190	(中国青海西宁 联通)
150.138.210.19	(中国山东济南 电信)
150.138.233.227	(中国山东济南 电信)
39.91.190.164	(中国山东济南 联通)
123.129.248.131	(中国山东济南 联通)
60.211.209.82	(中国山东济宁 联通)
182.40.80.26	(中国山东临沂 电信)
140.249.149.193	(中国山东青岛 电信)
140.249.153.84	(中国山东青岛 电信)
140.249.244.147	(中国山东青岛 电信)
150.138.138.41	(中国山东青岛 电信)
27.221.14.165	(中国山东青岛 联通)
27.221.82.41	(中国山东青岛 联通)
27.222.19.41	(中国山东青岛 联通)
119.167.239.41	(中国山东青岛 联通)
123.235.31.129	(中国山东青岛 联通)
61.179.224.75	(中国山东泰安 联通)
