gst.prod.dl.playstation.net

117.68.38.173	(中国安徽合肥 电信)
211.91.65.243	(中国安徽合肥 联通)
112.132.250.42	(中国安徽马鞍山 联通)
60.167.125.78	(中国安徽芜湖 电信)
61.49.23.51	(中国北京 联通)
39.156.8.57	(中国北京 移动)
111.13.143.207	(中国北京 移动)
119.84.164.226	(中国重庆 电信)
119.84.246.221	(中国重庆 电信)
58.144.195.127	(中国重庆 联通)
58.144.241.166	(中国重庆 联通)
221.178.10.159	(中国重庆 移动)
221.178.86.47	(中国重庆 移动)
221.178.87.165	(中国重庆 移动)
27.148.201.139	(中国福建福州 电信)
117.27.148.151	(中国福建福州 电信)
124.72.128.171	(中国福建福州 电信)
220.249.135.10	(中国福建宁德 联通)
106.126.10.35	(中国福建泉州 电信)
112.47.52.52	(中国福建泉州 移动)
110.88.142.59	(中国福建厦门 电信)
119.233.138.131	(中国福建厦门 福建广电/联通)
112.48.119.195	(中国福建厦门 移动)
112.48.137.32	(中国福建厦门 移动)
60.165.237.7	(中国甘肃兰州 电信)
61.134.71.74	(中国甘肃兰州 电信)
14.29.47.39	(中国广东佛山 电信)
14.29.49.44	(中国广东佛山 电信)
59.37.89.221	(中国广东佛山 电信)
120.240.48.72	(中国广东佛山 移动)
120.240.51.76	(中国广东佛山 移动)
14.29.100.64	(中国广东广州 电信)
157.148.126.101	(中国广东广州 联通)
120.241.86.10	(中国广东惠州 移动)
120.241.255.123	(中国广东江门 移动)
58.251.60.32	(中国广东深圳 联通)
58.251.62.193	(中国广东深圳 联通)
58.251.87.154	(中国广东深圳 联通)
116.8.119.198	(中国广西南宁 电信)
116.253.61.102	(中国广西南宁 电信)
171.109.101.18	(中国广西南宁 电信)
222.84.158.6	(中国广西南宁 电信)
211.97.87.88	(中国广西南宁 联通)
220.200.129.138	(中国广西南宁 联通)
58.42.59.109	(中国贵州贵阳 电信)
111.123.59.139	(中国贵州贵阳 电信)
111.123.248.8	(中国贵州贵阳 电信)
119.0.110.64	(中国贵州贵阳 电信)
117.135.197.218	(中国贵州贵阳 移动)
117.187.245.239	(中国贵州贵阳 移动)
124.225.121.133	(中国海南海口 电信)
124.225.191.59	(中国海南海口 电信)
153.0.226.185	(中国海南海口 联通)
123.182.89.151	(中国河北承德 电信)
106.119.86.203	(中国河北邯郸 电信)
101.28.130.139	(中国河北邯郸 联通)
218.12.124.147	(中国河北石家庄 联通)
111.62.158.80	(中国河北石家庄 移动)
101.72.227.55	(中国河北唐山 联通)
101.72.248.89	(中国河北唐山 联通)
